test   "NAIVE ALGORITHM" "LIMITED BACKJUMPIMG ALGORITHM" "DFA-BASED ALGORITHM"
TANGLE 0.420522 0.144176 0.034639
WEAVE  0.920289 0.301044 0.071938
TEX    3.754945 1.315691 0.312799
MF     3.735168 1.315708 0.312940
