test   "NAIVE ALGORITHM" "LIMITED BACKJUMPIMG ALGORITHM" "DFA-BASED ALGORITHM"
COMMON  0.471634 0.036983 0.012645
CTANGLE 0.496099 0.047925 0.016322
CWEAVE  4.580339 0.136958 0.046897
